A
Fernand Le Heurteur
Yves Le Roy
Bruno Le Stum
Julien Lebas
Laurence Lebeau
Évelyne Lebret
André Lebrun
Georges Leclerc
René Lécuron
Jean Lécuyer
Raymond Lefebvre (athlete)
Pascal Lefèvre
Pierre Legrain
Pierre Leichtnam
Nora Leksir
Gérard Lelièvre
Charles Lelong
Christophe Lemaitre
Alain Lemercier
Pierre-Yvon Lenoir
René Leray
Albin Lermusiaux
Françoise Leroux
Muriel Leroy
Odile Lesage
Raymond Lesage
L. Lescat
Yannick Lesourd
Franck Lestage
Éloyse Lesueur
Alain Levèvre
Sébastien Levicq
Pierre Lévisse
Pierre Lewden
Constantin Lissenko
Marc Litaudon
Paul Lizandier
Hector Llatser
Hermann Lomba
André Lonlas
René Lorain
Marion Lotout
Carima Louami
Anne-Marie Lousteau
Marie-France Loval
Albert Lucas (athlete)
Jacques Lunis
Maurice Lurot
Michèle Lurot
M
Driss Maazouzi
Yvonne Mabille
Patrick El Mabrouk
Michel Macquet
Émile Maggi
Janine Magnin-Lamouche
Joseph Mahmoud
Jean Maissant
Sophie Malbranque
Georges Malfait
Laurence Manfredi
Véronique Mang
Jean-Baptiste Manhès
Jérôme Mannaert
José Marajo
Rakiya Maraoui-Quétier
Auguste Marchais
Robert Marchal
Robert Marchand (athlete)
Bruno Marie-Rose
André-Jacques Marie
Marguerite Martel
Jean-Paul Martin-du-Gard
Bernadette Martin
Bernard Martin (athlete)
Séra Martin
Pascal Martinot-Lagarde
Maria Martins
Léonard Mascaux
Richard Maunier
Margaret Maury
Édouard Max-Robert
Jean Mayer (athlete)
Kevin Mayer
Gaston Mayordome
Jacqueline Mazéas
Pierre Mazille
Martial Mbandjock
Ydrissa M'Barke
Malik M'Baye
Michel Meerz
Abdellatif Meftah
Mahiedine Mekhissi-Benabbad
Kévin Menaldo
Claude Ménard (athlete)
Émilie Menuet
Henri Meslot
Romain Mesnil
René Metz
Gabrielle Meyer
Virginie Michanol
Roger Milhau
Alain Mimoun
Albert Moché
Louis Monnier
Max Morinière
M
Manuela Montebrun
René Morel (athlete)
Alfred Motté
William Motti
Bertrand Moulinet
André Mourlon
René Mourlon
Jeanine Moussier
Simon Munyutu
Rosario Murcia
Marcel Muzard
N
Valérie Nadaud
Raymonde Naigre
Jean-Claude Nallet
Antoinette Nana Djimou
Taki N'Dio
Jean-Marie Neff
Eric Neisse
Germain Nelzy
Maguy Nestoret
Marcelle Neveu
Yves Niaré
Claude Nicolas
Marguerite Nicolas
Christian Nicolau
Jules Noël (athlete)
Monique Noirot
Maurice Norland
Issa-Aimé Nthépé
